"camera","imgtype","zoom","exposure","gain","frame","lifter","timestamp","id","plantbarcode","treatment","cartag","measurementlabel","other","image","sample","Barcode","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","Height"
1,"none","none","none","none","none","none","2023_09_15_11:57:08","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-1-2023_09_15_11:57:08.jpg",1,"00103","True",2816,3158.5,0.891562450530315,239.722869515419,67,67,480,20,"True",67.5362319946289,55.8225746154785,124.10359954834,0.562852385975218,0
1,"none","none","none","none","none","none","2023_09_15_11:57:08","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-1-2023_09_15_11:57:08.jpg",2,"000XB","True",1324,1320,1.0030303030303,149.781744599342,51,39,374,18,"True",55.6616516113281,29.9226989746094,117.863914489746,0.843211510623185,0
2,"none","none","none","none","none","none","2023_09_15_11:57:09","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-2-2023_09_15_11:57:09.jpg",0,NA,"True",1873,1884.5,0.993897585566463,169.539103984833,55,46,374,20,"True",53.3544158935547,44.4761924743652,94.5295104980469,0.552369947669139,NA
2,"none","none","none","none","none","none","2023_09_15_11:57:09","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-2-2023_09_15_11:57:09.jpg",1,NA,"True",4538,4667.5,0.972254954472416,272.693431973457,71,90,635,27,"True",87.1606903076172,66.1812515258789,166.336761474609,0.650738873637215,NA
2,"none","none","none","none","none","none","2023_09_15_11:57:09","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-2-2023_09_15_11:57:09.jpg",2,NA,"True",2718,2749.5,0.988543371522095,210.06601536274,61,60,436,25,"True",61.22998046875,55.6175231933594,53.5479393005371,0.418236683758768,NA
5,"none","none","none","none","none","none","2023_09_15_11:57:09","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:57:09.jpg",0,"000YW","True",4078,4185,0.974432497013142,281.078207969665,99,62,685,28,"True",93.5963668823242,55.3009185791016,76.1015396118164,0.806785302593072,0
5,"none","none","none","none","none","none","2023_09_15_11:57:09","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:57:09.jpg",1,"000YS","True",3122,3168.5,0.985324285939719,233.965510129929,76,54,545,27,"True",75.8400268554688,51.5012741088867,99.0167922973633,0.734066360608433,0
5,"none","none","none","none","none","none","2023_09_15_11:57:09","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-5-2023_09_15_11:57:09.jpg",2,"00106","True",1890,2212.5,0.854237288135593,249.622364282608,59,55,416,22,"True",61.6584968566895,42.3630599975586,135.15998840332,0.726601097467329,0
6,"none","none","none","none","none","none","2023_09_15_11:57:10","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:57:10.jpg",0,NA,"True",3167,3251.5,0.974011994464093,235.480228900909,54,78,524,24,"True",78.1280822753906,51.5378112792969,2.52614450454712,0.751565950121783,NA
6,"none","none","none","none","none","none","2023_09_15_11:57:10","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:57:10.jpg",1,NA,"True",4894,4990.5,0.980663260194369,284.007140278816,76,88,633,24,"True",84.2189483642578,73.6571578979492,179.453735351563,0.484860899594101,NA
6,"none","none","none","none","none","none","2023_09_15_11:57:10","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-6-2023_09_15_11:57:10.jpg",2,NA,"True",6413,6514.5,0.984419372169775,321.462983965874,102,90,711,38,"True",96.0115356445312,84.9253845214844,93.9404067993164,0.466477368045855,NA
3,"none","none","none","none","none","none","2023_09_15_11:57:10","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-3-2023_09_15_11:57:10.jpg",0,NA,"True",3963,4023,0.985085756897837,247.965510129929,66,77,520,30,"True",75.7840423583984,65.7448272705078,177.230361938477,0.497387230621902,NA
3,"none","none","none","none","none","none","2023_09_15_11:57:10","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-3-2023_09_15_11:57:10.jpg",1,NA,"True",2869,2878.5,0.996699669966997,210.308655977249,62,63,443,28,"True",60.6088943481445,59.5937843322754,125.01944732666,0.182254083577463,NA
3,"none","none","none","none","none","none","2023_09_15_11:57:10","none","none","none","none","none","capture","/home/lift_lab/mnt/liftgoogledrive/RaspberryPi/New_Images/ALPHA/capture-3-2023_09_15_11:57:10.jpg",2,NA,"True",2521,2595,0.971483622350674,208.65180182457,68,54,472,24,"True",66.4605941772461,48.7332344055176,99.262825012207,0.679942857429197,NA
